Homepage,URL_parameter,JSON_Key,prefix,project_id
Trismegistos,None,TM_ID,,1
Epigraphic Database Bari,edb,EDB,,1
Epigraphic Database Heidelberg,edh,EDH,HD,HD002875
Epigraphik-Datenbank Clauss / Slaby,edcs,EDCS,,58200199
Epigraphic Database Roma,edr,EDR,EDR,EDR007184
Hesperia,he,HE,,2166
Last Statues of Antiquity,lsa,UOXF,LSA-,LSA-2664
Roman Inscriptions of Britain,rib,RIB,,1
PHI Greek Inscriptions,phi,PHI,,3314
Ubi Erat Lupa,lupa,LUPA,,17163
Inscriptions of Sicily,isic,ISic,ISic,ISic000624
Inscriptions of Roman Tripolitania,irt,IRT,IRT,IRT001
Inscriptions of Greek Cyrenaica,igcyr,IGCyR,igcyr,igcyr062850
Arabic Papyrological Database,apd,Orient,,11321
Celtic Inscribed Stones,cisp,CISP,abcar_,abcar_1
The Deir el-Medina Database,dem,DeM,O. Aberdeen,
PSIOnline,psi,PSI,psi;1;,
Papyri.info: Duke collection.,duke,PapNav-Duke,,29885998
Lexicon Leponticum,lexlep,Lexicological_lep,NO·21.,
Berliner Papyrusdatenbank,berlpap,Berliner_papyri,,2
Die Bremer Papyri,brempap,Bremen_papyri,,1261
Chartes.it,chartes,chartes,,14
Hispania Epigraphica,hisp,HispEpOl,,3
NaBuCCo,nabucco,NaBuCCo,,27700
Ashmolean Latin Inscriptions,ashmolian,Ashmolean_latin_inscriptions,AN_Chandler_3_,AN_Chandler_3_1
Papiri dell'Università di Genova,pug,PUG,,7591e9a2-dc06-4794-b37b-04038d393aaa
Inscriptions of Israel / Palestine,iip,IIP,masa,masa0772
SLUB Dresden,dresden,Dresden_papyri,id,id351370048
Greek Verse Inscriptions of Cyrenaica,gvcyr,GVCYR,gvcyr,gvcyr012
Vindolanda Tablets Online II,vindolanda,Vindolanda,TVII-,TVII-118
Universiteitsbibliotheek Gent,ghent,Ghent_papyri,,1484436
Kölner Papyri,cologne,Köln_papyri,tm,tm78
Papyrological Navigator,ddbdp,DDBDP,,
HEIDELBERGER GESAMTVERZEICHNIS DER GRIECHISCHEN PAPYRUSURKUNDEN ÄGYPTENS,hgv,HGV,,8961
Cachette de Karnak,cachkarn,CACHKaRN,ck,ck1
Papyrological Navigator: Stanford,stanford,PapNav-Stanford,,7463
Papyrological Navigator: Fordham,fordham,PapNav-Fordham,,1
Papyrological Navigator: Berenike,berenike,PapNav-Berenike,,1
Papyrological Navigator: Oslo,oslo,PapNav-Oslo,,82
Papyrological Navigator: Toronto,toronto,PapNav-Toronto,,1
Papyrological Navigator: Lund,lund,PapNav-Lund,,1
Papyrological Navigator: Hermitage,hermitage,PapNav-Hermitage,,1
Papyrological Navigator: Wisconsin,wisconsin,PapNav-Wisconsin,,5156
