"Id","Trismegistos","EDR","PHI","EDCS"
"ISic000001","491696","","","21900531"
"ISic000002","491568","141180","","21900397"
"ISic000003","491590","141191","","21900419"
"ISic000004","491500","","","21900323"
"ISic000005","491502","","","21900325"
"ISic000006","491874","","","22100631"
"ISic000007","175824","071633","","14700098"
"ISic000008","175715","076311","334888","9400437"
"ISic000009","491768","137592","","22000852"
"ISic000010","491770","137593","","22000854"
"ISic000011","491772","137644","","22000856"
"ISic000012","491773","137645","","22000857"
"ISic000013","491774","137649","","22000858"
"ISic000014","175727","074901","","9701489"
"ISic000015","491775","138097","","22000859"
"ISic000016","491776","137832","","22000860"
"ISic000017","491777","137667","","22000861"
"ISic000018","491778","137668","","22000862"
"ISic000019","491779","137670","","22000863"
"ISic000020","491780","137672","","22000864"
"ISic000021","491781","137778","","22000865"
"ISic000022","491782","138099","","22000866"
"ISic000023","491783","137669","","22000867"
"ISic000024","491784","137833","","22000868"
"ISic000025","491785","137835","","22000869"
"ISic000026","491786","138105","","22000870"
"ISic000027","491787","137871","","22000871"
"ISic000028","491788","137870","","22000872"
"ISic000029","491794","138106","","22000878"
"ISic000030","491795","137836","","22000879"
"ISic000031","491797","138294","","22000881"
"ISic000032","491805","137780","","22100008"
"ISic000033","491809","137781","","22100012"
"ISic000034","491811","137868","","22100014"
"ISic000035","491821","137866","","22100025"
"ISic000036","491826","137864","","22100030"
"ISic000037","491829","137779","","22100033"
"ISic000038","491830","137597","","22100034"
"ISic000039","644806","137596","","64800036"
"ISic000040","491850","","","22100588"
"ISic000041","175716","076312","","9400438"
"ISic000042","491765","","","22000849"
"ISic000043","491707","","","22000787"
"ISic000044","491618","","","21900449"
"ISic000045","491665","","","21900499"
"ISic000046","491682","","175713","21900516"
"ISic000047","491833","","","22100037"
"ISic000048","491487","","","21900308"
"ISic000049","491493","","","21900316"
"ISic000050","491494","","","21900317"
"ISic000051","175717","076313","","9400439"
"ISic000052","285282","127503","","22100045"
"ISic000053","285285","127506","","22100048"
"ISic000054","285242","111301","","22100094"
"ISic000055","285030","110920","","22100068"
"ISic000056","284852","111049","","22100092"
"ISic000057","285311","127541","","22100105"
"ISic000058","285298","127523","","22100119"
"ISic000059","285301","127527","","22100134"
"ISic000060","285304","127530","","22100138"
"ISic000061","285315","127526","","22100148"
"ISic000062","285291","127514","","22100149"
"ISic000063","175834","094013","","22100591"
"ISic000064","491853","142423","","22100592"
"ISic000065","175742","142424","","22100593 6100250"
"ISic000066","491855","142426","","22100594"
"ISic000067","491856","142428","","22100595"
"ISic000068","491858","142429","","22100597"
"ISic000069","491859","142431","","22100598"
"ISic000070","491860","140095; 142435","","22100599"
"ISic000071","491822","","","22100026"
"ISic000072","644807","","",""
"ISic000073","644808","","",""
"ISic000074","644809","","",""
"ISic000075","644810","","",""
"ISic000076","644811","","",""
"ISic000077","644812","","",""
"ISic000078","644813","","",""
"ISic000079","491382","","","3000420"
"ISic000080","492395","","","45600021"
"ISic000081","644814","","",""
"ISic000082","491383","","","3000421"
"ISic000083","175827","074188","","21900434"
"ISic000084","491827","137600","","22100031"
"ISic000085","285208","127000","","22100038"
"ISic000086","285019","109642","","22100039"
"ISic000087","285020","109645","","22100040"
"ISic000088","285021","109649","","22100041"
"ISic000089","285022","109660","","22100042"
"ISic000090","284838","109665","","22100043"
"ISic000091","285281","127502","","22100044"
"ISic000092","285283","127504","","22100046"
"ISic000093","285284","127505","","22100047"
"ISic000094","285286","127507","","22100049"
"ISic000095","285209","127010","","22100050"
"ISic000096","285278","127499","","22100051"
"ISic000097","175712","076568","","9300257"
"ISic000098","285316","127534","","22100052"
"ISic000099","175696","077198","","9200305"
"ISic000100","285328","127535","","22100053"
"ISic000101","285308","127536","","22100054"
"ISic000102","285235","110872","","22100055"
"ISic000103","285287","127508","","22100056"
"ISic000104","285236","110876","","22100057"
"ISic000105","284840","110878","","10900636"
"ISic000106","285120","110879","","22100058"
"ISic000107","285028","110884","","22100059"
"ISic000108","285029","110885","","10900637"
"ISic000109","284841","110888","","22100060"
"ISic000110","284842","110891","","10900638"
"ISic000111","284843","110893","","22100061"
"ISic000112","285193","110913","","22100062"
"ISic000113","285160","110914","","22100063"
"ISic000114","285317","127537","","22100064"
"ISic000115","285321","110917","","22100065"
"ISic000116","285207","126999","","22100066"
"ISic000117","285309","127538","","22100067"
"ISic000118","285310","127539","","22100069"
"ISic000119","284768","033608; 111000","313702","22100070"
"ISic000120","285268","127484","","22100071"
"ISic000121","285267","127483","","22100072"
"ISic000122","285266","127482","","22100073"
"ISic000123","285293","127516","","22100074"
"ISic000124","285288","127509","","10900639"
"ISic000125","285265","127481","","22100075"
"ISic000126","285264","127480","","22100076"
"ISic000127","285294","127517","","10900640"
"ISic000128","175694","077913","","8900391"
"ISic000129","285295","127518","","10900641"
"ISic000130","285296","127519","","10900642"
"ISic000131","285121","111012","","22100077"
"ISic000132","285238","111013","","10900643"
"ISic000133","285239","111014","","22100078"
"ISic000134","285122","111015","","22100079"
"ISic000135","175731","076859","","10900644"
"ISic000136","285123","111016","","22100080"
"ISic000137","284844","111018","","22100081"
"ISic000138","285240","111019","","10900645"
"ISic000139","284845","111020","","22100082"
"ISic000140","175705","077927","","8900405"
"ISic000141","175734","076862","","10900646"
"ISic000142","285263","127478","","23400464"
"ISic000143","285031","111023","","22100083"
"ISic000144","284846","111024","","22100084"
"ISic000145","285032","111025","","22100085"
"ISic000146","284847","111026","","22100086"
"ISic000147","284848","111043","","22100087"
"ISic000148","284849","111044","","22100088"
"ISic000149","285033","111045","","22100089"
"ISic000150","284850","111046","","22100090"
"ISic000151","284851","111047","","22100091"
"ISic000152","285241","111048","","10900647"
"ISic000153","285273","111299","","10900648"
"ISic000154","285124","111300","","22100093"
"ISic000155","285243","111305","","8900406"
"ISic000156","493964","","","10900649"
"ISic000157","175735","076863","","10900650"
"ISic000158","285125","111307","","22100095"
"ISic000159","285153","111309","","22100096"
